species_name,effort_level,approximate_stations_per_year,replicate,end_year_SSB,end_year_SSB_SD,ssb_cv,relative_error,MARE,cv_difference_from_reference,OFL_sigma
Longnose_skate,0.2,75,1,25790,5861.52,0.22727879,0.844811633,0.844811633,0.002161885,0.21279097
Longnose_skate,0.2,75,2,27177.9,6221.24,0.228908047,0.958027256,0.958027256,0.003791141,0.215751622
Longnose_skate,0.2,75,3,26190.1,5979.28,0.228303061,0.881874548,0.881874548,0.003186156,0.214280653
Longnose_skate,0.4,150,1,25677.8,5760.69,0.224345154,0.813077141,0.813077141,0.000771751,0.204882043
Longnose_skate,0.4,150,2,25541.1,5814.32,0.227645638,0.829956252,0.829956252,0.002528733,0.207234542
Longnose_skate,0.4,150,3,25444,5798.89,0.227907955,0.825099928,0.825099928,0.00279105,0.209364461
Longnose_skate,0.6,226,1,13900.6,3168.1,0.227911025,-0.00289554,0.00289554,0.00279412,0.208677953
Longnose_skate,0.6,226,2,25527.9,5692.24,0.22298113,0.791533692,0.791533692,0.002135775,0.204984275
Longnose_skate,0.6,226,3,14074.7,3145.2,0.223464799,-0.010102918,0.010102918,0.001652107,0.203800503
Longnose_skate,0.8,301,1,15258.4,3775.35,0.247427646,0.188225852,0.188225852,0.022310741,0.206260295
Longnose_skate,0.8,301,2,24925.9,5625.75,0.225698972,0.770607119,0.770607119,0.000582067,0.203075887
Longnose_skate,0.8,301,3,14081.3,3154.58,0.224026191,-0.007150725,0.007150725,0.001090714,0.201850456
Longnose_skate,1,376,1,14114,3177.3,0.225116905,0,0,0,0.200139613
Pacific_ocean_perch,0.2,75,1,3226.23,1014.87,0.314568397,-0.254007924,0.254007924,0.031731777,0.303687077
Pacific_ocean_perch,0.2,75,2,4015.16,1233.6,0.307235577,-0.093227876,0.093227876,0.024398957,0.296612633
Pacific_ocean_perch,0.2,75,3,4011.87,1201.92,0.299590964,-0.116514631,0.116514631,0.016754344,0.289363478
Pacific_ocean_perch,0.4,150,1,3818.3,1137.27,0.297847209,-0.164036371,0.164036371,0.01501059,0.288149067
Pacific_ocean_perch,0.4,150,2,4375.3,1298.32,0.296738509,-0.045654683,0.045654683,0.013901889,0.287233883
Pacific_ocean_perch,0.4,150,3,4481.83,1308.62,0.291983409,-0.038083547,0.038083547,0.009146789,0.282793525
Pacific_ocean_perch,0.6,226,1,4818.96,1395.94,0.289676611,0.026102041,0.026102041,0.006839991,0.280316366
Pacific_ocean_perch,0.6,226,2,4754.04,1337.98,0.281440627,-0.016502135,0.016502135,0.001395993,0.271877927
Pacific_ocean_perch,0.6,226,3,4202.45,1214.62,0.289026639,-0.107179348,0.107179348,0.006190019,0.279466213
Pacific_ocean_perch,0.8,301,1,5613.42,1592.04,0.283613198,0.170247642,0.170247642,0.000776578,0.274197495
Pacific_ocean_perch,0.8,301,2,4741.19,1328.71,0.280248208,-0.023316157,0.023316157,0.002588412,0.271242564
Pacific_ocean_perch,0.8,301,3,4550.25,1299.39,0.285564529,-0.044868167,0.044868167,0.002727909,0.276354636
Pacific_ocean_perch,1,376,1,4809.95,1360.43,0.28283662,0,0,0,0.273707489
Petrale_sole,0.2,75,1,9.51218,1.15424,0.121343372,0.683429398,0.683429398,0.041644107,0.179736217
Petrale_sole,0.2,75,2,9.16516,1.05514,0.115125104,0.538894593,0.538894593,0.035425839,0.176962923
Petrale_sole,0.2,75,3,8.51525,0.94054,0.110453598,0.371753436,0.371753436,0.030754332,0.174084395
Petrale_sole,0.4,150,1,9.73741,0.99805,0.102496454,0.455630294,0.455630294,0.022797189,0.159029556
Petrale_sole,0.4,150,2,8.25148,0.820388,0.099423134,0.19651483,0.19651483,0.019723868,0.164990076
Petrale_sole,0.4,150,3,7.96407,0.743752,0.093388431,0.084743192,0.084743192,0.013689165,0.158438363
Petrale_sole,0.6,226,1,8.34231,0.744868,0.089287979,0.086370849,0.086370849,0.009588713,0.151241881
Petrale_sole,0.6,226,2,8.78698,0.799297,0.09096379,0.165754148,0.165754148,0.011264524,0.148992243
Petrale_sole,0.6,226,3,9.17049,0.872391,0.095130249,0.27235987,0.27235987,0.015430984,0.152392257
Petrale_sole,0.8,301,1,7.99156,0.673911,0.084327841,-0.017118113,0.017118113,0.004628575,0.144453648
Petrale_sole,0.8,301,2,8.56977,0.738539,0.086179559,0.077140165,0.077140165,0.006480293,0.145109805
Petrale_sole,0.8,301,3,8.74483,0.768973,0.087934585,0.121527373,0.121527373,0.00823532,0.146464026
Petrale_sole,1,376,1,8.60294,0.685648,0.079699266,0,0,0,0.140184406
Sablefish,0.2,75,1,71067.7,11741.8,0.165219924,0.659965618,0.659965618,0.054914888,0.163694274
Sablefish,0.2,75,2,64583.4,10857.6,0.168117504,0.534964205,0.534964205,0.057812468,0.165752145
Sablefish,0.2,75,3,62282.1,10048,0.161330463,0.420509167,0.420509167,0.051025427,0.159381774
Sablefish,0.4,150,1,69524.4,9451.81,0.135949537,0.336224397,0.336224397,0.025644501,0.139084646
Sablefish,0.4,150,2,62526.5,8256.29,0.132044653,0.16721095,0.16721095,0.021739617,0.135383633
Sablefish,0.4,150,3,59120.6,8100.82,0.137021952,0.145231794,0.145231794,0.026716916,0.138915704
Sablefish,0.6,226,1,60041.5,7394.57,0.123157649,0.045387586,0.045387586,0.012852613,0.128491626
Sablefish,0.6,226,2,64222.8,7943.61,0.123688316,0.12300665,0.12300665,0.013383281,0.129107067
Sablefish,0.6,226,3,69415.1,8443.99,0.121644858,0.193746536,0.193746536,0.011339822,0.127752784
Sablefish,0.8,301,1,63673.7,7367.82,0.115712139,0.041605877,0.041605877,0.005407103,0.123722957
Sablefish,0.8,301,2,62494.4,7157.77,0.114534582,0.011910619,0.011910619,0.004229547,0.123141252
Sablefish,0.8,301,3,61156.5,6957.78,0.113770082,-0.016362433,0.016362433,0.003465046,0.121500535
Sablefish,1,376,1,64126.9,7073.52,0.110305036,0,0,0,0.119808451
Shortspine_thornyhead,0.2,75,1,5923.48,1001.2,0.169022264,0.019738852,0.019738852,0.012914418,0.200718123
Shortspine_thornyhead,0.2,75,2,6409.39,1100,0.171623197,0.120368296,0.120368296,0.015515351,0.201576676
Shortspine_thornyhead,0.2,75,3,9352.65,2406.66,0.25732386,1.451223238,1.451223238,0.101216015,0.279909749
Shortspine_thornyhead,0.4,150,1,7189.93,1338.19,0.186120032,0.362968772,0.362968772,0.030012186,0.211303653
Shortspine_thornyhead,0.4,150,2,6816.5,1158.08,0.16989364,0.179523742,0.179523742,0.013785795,0.195962285
Shortspine_thornyhead,0.4,150,3,6250.26,1019.77,0.163156413,0.038652706,0.038652706,0.007048567,0.189949499
Shortspine_thornyhead,0.6,226,1,6776.94,1118.95,0.165111392,0.139669186,0.139669186,0.009003547,0.190100095
Shortspine_thornyhead,0.6,226,2,6310.97,1014.75,0.160791447,0.033539753,0.033539753,0.004683602,0.185923476
Shortspine_thornyhead,0.6,226,3,6874.48,1148.31,0.167039543,0.169572834,0.169572834,0.010931698,0.191481885
Shortspine_thornyhead,0.8,301,1,6602.94,1067.77,0.161711298,0.087541505,0.087541505,0.005603453,0.186301212
