term,estimate,std.error,conf.low,conf.high
factor(Year)2003,-3.90417032243623,0.576541363493985,-5.03417063048205,-2.7741700143904
factor(Year)2004,-4.05670770448451,0.592158467438978,-5.21731697380534,-2.89609843516367
factor(Year)2005,-3.49087218870542,0.565923521180288,-4.60006190822288,-2.38168246918797
factor(Year)2006,-3.96624250586765,0.572493058872158,-5.08830828265625,-2.84417672907906
factor(Year)2007,-3.92008572345587,0.567610310993545,-5.0325814902568,-2.80758995665494
factor(Year)2008,-4.02203566394308,0.578391364850083,-5.15566190801821,-2.88840941986795
factor(Year)2009,-3.73474906120643,0.565447941065653,-4.84300666082744,-2.62649146158543
factor(Year)2010,-3.97714522067117,0.575875165422908,-5.10583980449112,-2.84845063685123
factor(Year)2011,-3.73955182689189,0.570562534536231,-4.85783384551079,-2.62126980827299
factor(Year)2012,-3.55513602938593,0.567323632634165,-4.66706991692732,-2.44320214184453
factor(Year)2013,-3.8355044356049,0.57218544189695,-4.95696729420105,-2.71404157700874
factor(Year)2014,-3.42423518499403,0.562112539653049,-4.52595551797235,-2.32251485201571
factor(Year)2015,-3.44643893700505,0.563015529164131,-4.54992909690351,-2.34294877710659
factor(Year)2016,-2.75367298832747,0.557253969288704,-3.84587069837532,-1.66147527827962
factor(Year)2017,-2.92806951602005,0.554401283354262,-4.01467606437719,-1.84146296766291
factor(Year)2018,-3.23222407319611,0.563086912822467,-4.33585414249399,-2.12859400389824
factor(Year)2019,-3.0828159408547,0.585152247550824,-4.22969327152698,-1.93593861018241
factor(Year)2021,-3.96879732528468,0.570281788064806,-5.0865290909308,-2.85106555963855
factor(Year)2022,-3.66138505824259,0.573410216462117,-4.78524843087565,-2.53752168560952
factor(Year)2023,-3.22493499266361,0.561551610390668,-4.32555592448979,-2.12431406083743
factor(Year)2024,-3.72276339370898,0.57060463047603,-4.84112791885379,-2.60439886856418
Pass,-0.490793998695737,0.0878597320647161,-0.662995909233919,-0.318592088157554
